,strategy,model,time
0,STRATEGY,LR,0.0
1,STRATEGY,Lasso,0.0
2,STRATEGY,Ridge,0.0
3,STRATEGY,RandomForest,2.8833333333333333
4,STRATEGY,XGB,0.8833333333333333
5,STRATEGY,SVR,0.0
0,STRATEGY,LR,0.0
1,STRATEGY,Lasso,0.0
2,STRATEGY,Ridge,0.0
3,STRATEGY,RandomForest,2.8666666666666667
4,STRATEGY,XGB,0.9333333333333333
5,STRATEGY,SVR,0.0
0,STRATEGY,LR,0.0
1,STRATEGY,Lasso,0.0
2,STRATEGY,Ridge,0.0
3,STRATEGY,RandomForest,4.45
4,STRATEGY,XGB,1.9
5,STRATEGY,SVR,33.45
0,TEST_STRATEGY_target_close_all_lags,LR,0.0
1,TEST_STRATEGY_target_close_all_lags,Lasso,0.016666666666666666
2,TEST_STRATEGY_target_close_all_lags,Ridge,0.0
3,TEST_STRATEGY_target_close_all_lags,RandomForest,2.8666666666666667
0,TEST_STRATEGY_SC_target_close_all_lags,LR,0.0
1,TEST_STRATEGY_SC_target_close_all_lags,Lasso,0.0
2,TEST_STRATEGY_SC_target_close_all_lags,Ridge,0.0
3,TEST_STRATEGY_SC_target_close_all_lags,RandomForest,3.2333333333333334
0,TEST_STRATEGY_SC_target_close_all_lags,LR,0.0
1,TEST_STRATEGY_SC_target_close_all_lags,Lasso,0.0
2,TEST_STRATEGY_SC_target_close_all_lags,Ridge,0.0
3,TEST_STRATEGY_SC_target_close_all_lags,RandomForest,3.183333333333333
0,target_close_all_lags,LR,0.0
1,target_close_all_lags,Lasso,0.0
2,target_close_all_lags,Ridge,0.0
3,target_close_all_lags,RandomForest,2.466666666666667
4,target_close_all_lags,XGB,13.416666666666666
5,target_close_all_lags,SVR,19.65
